Пол,Фамилия,Имя,Отчество
1,Иконник,Александр,Васильевич
1,Безденежный,Федор,Денисович
1,Каломийцев,Герман,Эдуардович
1,Семирадский,Филипп,Германович
1,Бутынец,Алексей,Егорович
1,Ураков,Аркадий,Юрьевич
1,Манохин,Герман,Павлович
1,Городов,Владислав,Романович
1,Гражданкин,Ян,Марселевич
1,Оскрометов,Ян,Альбертович
1,Иванишев,Глеб,Анатольевич
1,Опорков,Ефим,Юрьевич
1,Рудник,Станислав,Владиславович
1,Воднев,Ильдар,Валерьевич
1,Варанков,Радик,Васильевич
1,Сенекин,Иван,Георгиевич
1,Рабинов,Яков,Михаилович
1,Егоркин,Виталий,Федорович
1,Балов,Ильдар,Тимурович
1,Старовайтов,Андрей,Тимофеевич
1,Толоконников,Дмитрий,Васильевич
1,Хамаров,Ян,Олегович
1,Тембулатов,Юрий,Ильдарович
1,Вейцман,Сергей,Алексеевич
1,Брынских,Альберт,Рамилевич
1,Китайчик,Радик,Васильевич
1,Стреаловских,Глеб,Валентинович
1,Заев,Никита,Дмитриевич
1,Выборнов,Ринат,Филиппович
1,Беккер,Егор,Ярославович
1,Лесковец,Валерий,Дмитриевич
1,Булойчик,Яков,Данилович
1,Ярыгин,Петр,Германович
1,Каринский,Петр,Вадимович
1,Коверзнев,Тимур,Васильевич
1,Бернц,Вячеслав,Филиппович
1,Заруцкий,Ярослав,Владимирович
1,Мошковский,Герман,Федорович
1,Шкитин,Леонид,Никитович
1,Щепетильников,Павел,Аркадьевич
1,Шинкарев,Олег,Вячеславович
1,Гандыбин,Тимофей,Владимирович
1,Ручьев,Ринат,Юрьевич
1,Манучарян,Артур,Никитович
1,Бельчев,Кирилл,Ильич
1,Жирков,Олег,Семенович
1,Гашенко,Александр,Русланович
1,Меньщиков,Кирилл,Артурович
1,Колзаков,Ефим,Павлович
1,Арнольдов,Георгий,Данилович
1,Бобриков,Вадим,Андреевич
1,Красавкин,Денис,Юрьевич
1,Скадовский,Анатолий,Павлович
1,Ревтов,Алексей,Семенович
1,Гостемилов,Борис,Глебович
1,Хромец,Иван,Александрович
1,Пономарев,Рамиль,Алексеевич
1,Кленевский,Виталий,Константинович
1,Муканов,Никита,Алексеевич
1,Валухин,Петр,Глебович
1,Полубайдаков,Степан,Игоревич
1,Семиселов,Геннадий,Федорович
1,Пржибыловский,Ян,Юрьевич
1,Детышев,Марат,Яковлев
1,Батрунов,Тимофей,Артемович
1,Курослепов,Олег,Маратович
1,Левашев,Владислав,Германович
1,Макарчук,Олег,Леонидович
1,Анисов,Валерий,Викторович
1,Атарик,Денис,Эдуардович
1,Кознаков,Александр,Романович
1,Григорий,Олег,Антонович
1,Цепакин,Вячеслав,Анатольевич
1,Тукалин,Максим,Никитович
1,Сулейкин,Павел,Ильич
1,Чухлов,Борис,Валерьевич
1,Кончевский,Марат,Ефимович
1,Трескин,Антон,Артурович
1,Духов,Артур,Георгиевич
1,Насибов,Василий,Радикович
1,Кучмин,Марат,Рамилевич
1,Вонифатьев,Ильдар,Денисович
1,Евстигнеев,Георгий,Павлович
1,Ильинов,Анатолий,Владиславович
1,Авласевич,Роберт,Юрьевич
1,Нагорных,Марат,Антонович
1,Стрюковатый,Александр,Павлович
1,Борисихин,Ринат,Романович
1,Дербунов,Андрей,Федорович
1,Прованов,Марат,Аркадьевич
1,Жигулев,Анатолий,Петрович
1,Арых,Геннадий,Викторович
1,Леньков,Марат,Ильич
1,Бобошко,Яков,Максимович
1,Коняев,Ян,Григорьевич
1,Истефеев,Ильдар,Юрьевич
1,Лаговский,Виктор,Яковлев
1,Билокур,Данил,Радикович
1,Сандырев,Олег,Романович
1,Чуфрин,Вячеслав,Данилович
1,Шамонов,Марсель,Евгеньевич
1,Рокасовский,Олег,Радикович
1,Шурганов,Борис,Германович
1,Казадаев,Геннадий,Геннадьевич
1,Крайний,Радик,Владиславович
1,Дубин,Антон,Робертович
1,Глазунов,Кирилл,Янович
1,Василец,Павел,Григорьевич
1,Канахин,Марат,Алексеевич
1,Тавасиев,Евгений,Георгиевич
1,Барбун,Григорий,Эдуардович
1,Наумчик,Ярослав,Марселевич
1,Галиакберов,Станислав,Ринатович
1,Парняков,Василий,Анатольевич
1,Юнин,Вадим,Робертович
1,Бекаревич,Ефим,Степанович
1,Маслобоев,Радик,Данилович
1,Янаев,Юрий,Андреевич
1,Вежин,Тимур,Олегович
1,Гвоздь,Марат,Аркадьевич
1,Панцержанский,Петр,Ефимович
1,Марцин,Виталий,Егорович
1,Бахар,Иван,Вячеславович
1,Янкевич,Анатолий,Игоревич
1,Разенков,Федор,Никитович
1,Смарагдов,Алексей,Артемович
1,Низовский,Филипп,Станиславович
1,Доронкин,Роман,Романович
1,Абметко,Александр,Олегович
1,Скоблилов,Владимир,Владиславович
1,Хамитов,Сергей,Яковлев
1,Второв,Герман,Васильевич
1,Славутинский,Евгений,Олегович
1,Серенко,Геннадий,Радикович
1,Куршев,Виктор,Михаилович
1,Барахтян,Федор,Николаевич
1,Ваньтяев,Егор,Леонидович
1,Арсаев,Дамир,Григорьевич
1,Штыгашев,Данил,Григорьевич
1,Млотковский,Андрей,Марселевич
1,Фрудис,Станислав,Евгеньевич
1,Туктамышев,Антон,Робертович
1,Киндеев,Роман,Валерьевич
1,Растопчин,Рамиль,Игоревич
1,Земцев,Валерий,Петрович
1,Земченко,Геннадий,Марселевич
1,Русан,Ильдар,Андреевич
1,Вагин,Леонид,Егорович
1,Панкрашкин,Дмитрий,Сергеевич
1,Хахулин,Филипп,Тимурович
1,Неусихин,Петр,Рамилевич
1,Черепко,Егор,Сергеевич
1,Толков,Денис,Маратович
1,Стуколов,Алексей,Глебович
1,Косолобов,Дамир,Ильич
1,Беркоз,Григорий,Семенович
1,Тюфяев,Ярослав,Германович
1,Чичваркин,Василий,Тимурович
1,Головушкин,Роман,Геннадьевич
1,Байжанов,Петр,Викторович
